Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
25.7,-0.454,0.342,0.0548
25.8,0.396,-0.0862,0.0972
26,-0.1024,-0.224,-0.1974
26.1,-0.24,0.404,0.1834
26.3,0.46,-0.362,-0.0698
26.4,-0.412,0.113,-0.0864
26.6,0.1414,0.1944,0.1902
26.7,0.212,-0.394,-0.189
26.9,-0.444,0.368,0.0792
27,0.418,-0.1332,0.0756
27.2,-0.1666,-0.1758,-0.1864
27.3,-0.1996,0.392,0.1958
27.5,0.428,-0.38,-0.0894
27.6,-0.45,0.1662,-0.0592
27.8,0.1806,0.1544,0.184
27.9,0.1466,-0.37,-0.1932
28.1,-0.432,0.394,0.1054
28.2,0.434,-0.1764,0.0546
28.4,-0.218,-0.1266,-0.1728
28.5,-0.1372,0.37,0.202
28.7,0.42,-0.402,-0.1138
28.8,-0.442,0.204,-0.04
29,0.266,0.095,0.1632
29.1,0.137,-0.362,-0.21
29.3,-0.346,0.386,0.111
29.5,0.514,-0.246,0.01186
29.6,-0.212,-0.1004,-0.174
29.8,-0.0482,0.328,0.1934
29.9,0.436,-0.436,-0.1558
30.1,-0.338,0.1936,-0.0542
30.2,0.408,0.00075,0.1252
30.4,-0.1122,-0.264,-0.1518
30.5,-0.886,0.61,0.266
30.7,0.0454,-0.1102,0.0658
30.8,-0.1866,-0.0764,-0.1756
31,0.1796,0.23,0.22
31.1,0.202,-0.382,-0.1034
31.3,-0.482,0.3,-0.0346
31.4,0.592,-0.0618,0.075
31.6,-0.1152,-0.24,-0.134
31.7,-0.852,0.624,0.298
31.9,0.302,-0.22,0.001198
32,0.55,-0.362,-0.388
32.2,2.02,-0.554,-0.35
32.3,1.806,-0.916,-0.438
32.5,-1.694,0.934,0.516
32.6,-2.56,1.058,0.7
32.8,-1.37,0.1518,-0.136
32.9,0.502,0.054,0.065
33.1,1.592,-0.822,-0.0862
33.2,0.408,-0.248,-0.294
33.4,0.318,0.236,0.0328
33.5,-0.61,0.00232,-0.001128
33.7,-2,0.878,0.356
33.8,-0.556,0.0812,0.226
34,0.42,-0.53,-0.1928
34.1,1.718,-0.212,-0.0894
34.3,2.7,-0.954,-0.69
34.4,1.164,-0.264,-0.536
34.6,-0.0181,0.198,0.306
34.7,-2.58,0.282,0.332
34.9,-4.02,1.568,0.792
35,-0.662,0.552,0.568
35.2,1.652,-0.842,-0.494
35.3,1.758,-0.596,-0.418
35.5,0.638,-0.1298,-0.0538
35.6,-0.8,0.822,0.266
35.8,0.0774,-0.0992,0.1642
35.9,-0.418,-0.976,-0.426
36.1,-0.218,0.0264,-0.266
36.2,3.2,-0.794,-0.482
36.4,2.58,-0.666,-0.466
36.6,-0.772,0.948,0.426
36.7,-2.48,1.018,0.514
36.9,-2.86,0.842,0.622
37,-1.466,-0.472,0.412
37.2,-0.814,-0.592,-0.1798
37.3,0.1646,1.126,0.22
37.5,2.02,0.0028,-0.294
37.6,1.31,-0.808,-0.852
37.8,1,-0.3,-0.0248
37.9,1.072,-0.802,0.0206
38.1,-0.1694,-0.1262,-0.00556
38.2,-1.264,0.45,0.324
38.4,-2.78,0.8,0.12
38.5,-0.176,0.73,-0.093
38.7,4,-1.08,-0.44
38.8,0.826,-0.084,0.468
39,-3.72,1.828,1.642
39.1,-2.46,-0.22,-0.24
39.3,3.28,-2.98,-2.46
39.4,6.06,-2.74,-1.682
39.6,-0.0408,1.37,0.674
39.7,-4.18,3.7,1.858
39.9,-1.744,0.718,0.798
40,-1.332,-0.53,0.1096
40.2,-1.03,0.262,0.25
40.3,-0.1762,0.494,0.378
40.5,-1.312,0.924,0.782
40.6,0.748,-1.788,-1.526
40.8,4.88,-3.56,-3.28
40.9,2.52,0.0424,0.754
41.1,-5,2.72,3.2
41.2,-3.96,1.73,0.408
41.4,5.92,-1.12,-1.47
