Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
26.6,-0.524,0.287,-0.188
26.7,0.264,-0.262,0.188
26.9,0.218,0.0633,-0.0699
27,-0.481,0.141,-0.076
27.2,0.596,-0.315,0.202
27.3,-0.218,0.252,-0.189
27.5,-0.105,-0.126,0.104
27.6,0.524,-0.142,0.0665
27.8,-0.534,0.264,-0.171
27.9,0.395,-0.315,0.215
28.1,0.257,0.0435,-0.0703
28.2,-0.548,0.127,-0.0704
28.4,0.0915,-0.116,0.102
28.5,-0.861,0.494,-0.279
28.7,-0.107,-0.133,0.132
28.8,0.239,-0.0204,-0.0338
29,-2.16,0.976,-0.528
29.1,-0.711,0.399,-0.0071
29.3,3.54,-1.11,0.616
29.5,5.26,-2.57,1.04
29.6,-0.000529,-0.439,-0.0815
29.8,-6.77,3.21,-1.42
29.9,-2.24,1.22,-0.0735
30.1,4.65,-2.04,0.77
30.2,1.99,-1.24,-0.0176
30.4,-2.64,0.935,-0.406
30.5,-3.92,1.69,-0.438
30.7,-0.876,0.17,0.245
30.8,3.37,-0.825,0.632
31,2.68,-0.359,0.0416
31.1,1.41,-1.04,0.022
31.3,1.36,-1.08,0.14
31.4,-1.24,0.259,0.0633
31.6,-4.97,2.21,-0.747
31.7,-5.7,3.09,-1.41
31.9,2.95,-1.25,0.679
32,9.99,-4.88,1.99
32.2,0.126,-0.676,-0.197
32.3,-9.82,4.14,-1.43
32.5,-4.03,2.54,-0.218
32.6,7.03,-2.46,1.17
32.8,9.15,-3.39,0.86
32.9,-0.315,0.0415,-0.599
33.1,-6.52,1.23,-0.824
33.2,-3.07,0.944,-0.352
33.4,-0.0903,1.31,0.0644
33.5,1.05,0.187,0.708
33.7,0.199,-0.547,-0.0412
33.8,-1.92,-0.263,-0.962
34,0.121,-0.129,-0.348
34.1,2.6,-0.353,0.815
34.3,2.53,-1.14,1.45
34.4,-0.172,0.0403,0.228
34.6,-2.78,1.59,-1.23
34.7,0.869,-0.268,-0.59
34.9,4.4,-2.46,0.605
35,0.124,-1.13,0.654
35.2,-8.77,4.42,-1.43
35.3,-8.38,5.59,-1.84
35.5,8.09,-3.51,2.14
35.6,14.1,-7.88,2.83
35.8,-2.1,0.363,-1.62
35.9,-12.2,6.39,-2.74
36.1,-4.63,1.98,0.632
36.2,7.54,-4.49,2.88
36.4,9.77,-3.26,0.608
36.6,-0.585,1.87,-2.73
36.7,-7.13,1.85,-1.77
36.9,-4.76,0.375,0.85
37,-4.71,2.68,1.16
37.2,-1.86,2.93,0.324
37.3,10.7,-3.48,0.233
37.5,17.1,-9.33,1.36
37.6,1.71,-3.14,0.702
37.8,-19.4,8.31,-1.73
37.9,-15.9,7.68,-1.79
38.1,7.96,-2.2,0.145
38.2,16.9,-5.87,1.07
38.4,-1.9,0.454,-0.87
38.5,-20.2,5.98,-2.67
38.7,-7.28,1.96,0.39
38.8,19.9,-4.31,4.11
39,22.5,-5.75,3.51
39.1,-0.5,-2.86,-0.374
39.3,-19.6,3.29,-4.36
39.4,-13.5,5.42,-3.63
39.6,7.68,-0.163,1.99
39.7,14,-4.76,4.82
39.9,-1.78,-1.85,0.347
40,-15,4.92,-5.4
40.2,-6.53,4.8,-3.17
40.3,10.9,-3.05,4.29
40.5,10.5,-4.63,5.42
40.6,-2.99,2.28,-0.877
40.8,-8.18,6.01,-5.66
40.9,-5.73,1.89,-3.08
41.1,4.66,-7.08,3.9
41.2,13.7,-8.99,4.18
41.4,3.17,1.27,-2.32
41.5,-9.03,7.48,-2.39
41.7,-4.58,1.51,3.23
41.8,1.74,-3.75,3.16
42,-2.75,0.979,-3.89
42.1,-7.28,6.5,-7.38
42.3,3.5,0.807,1.25
42.4,13.3,-8.1,9.81
42.6,3.82,-6.75,4.09
42.7,-7.62,3.46,-6.89
42.9,-7.64,10.1,-7.42
43,-0.265,2.9,1.73
43.2,3.9,-6.47,5.12
43.3,-0.768,-3.26,-0.747
43.5,-0.0158,1.71,-3.15
43.6,5.17,-0.423,0.679
43.8,-0.257,-2.35,4.56
44,-7.16,0.456,3.16
44.1,-1.16,2.54,-3.27
44.3,10.3,-1.1,-4.16
44.4,6.98,-2.21,1.7
44.6,-10,3.32,1.6
44.7,-13.2,4.61,-4.07
44.9,3.34,-0.871,-2.7
