Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
0,5,-0.209,0.837
0.151,4.02,-3.09,2.11
0.302,-4.17,-1.59,0.211
0.453,-2.01,0.88,-0.676
0.604,-2.04,-0.0798,-0.294
0.755,-0.533,0.632,-0.363
0.906,-0.316,-0.0618,-0.00706
1.06,-1.37,-0.453,0.00102
1.21,-0.274,0.781,-0.388
1.36,0.0187,-0.37,0.162
1.51,-0.789,0.0642,-0.151
1.66,0.901,0.502,-0.0881
1.81,-0.439,-0.658,0.219
1.96,0.214,0.544,-0.211
2.11,0.734,-0.0589,0.131
2.27,-0.417,-0.421,0.121
2.42,0.66,0.657,-0.194
2.57,0.319,-0.546,0.288
2.72,-0.446,0.0781,-0.104
2.87,0.95,0.384,-0.0256
3.02,-0.51,-0.691,0.227
3.17,0.115,0.555,-0.226
3.32,0.466,-0.161,0.141
3.47,-0.721,-0.364,0.0544
3.62,0.466,0.646,-0.215
3.78,-0.0667,-0.584,0.25
3.93,-0.6,0.175,-0.168
4.08,0.728,0.331,-0.0341
4.23,-0.705,-0.65,0.18
4.38,0.0907,0.615,-0.256
4.53,0.357,-0.223,0.151
4.68,-0.736,-0.277,0.0132
4.83,0.559,0.633,-0.197
4.98,-0.12,-0.614,0.254
5.14,-0.447,0.259,-0.183
5.29,0.779,0.257,0.00517
5.44,-0.669,-0.621,0.172
5.59,0.246,0.644,-0.246
5.74,0.353,-0.303,0.185
5.89,-0.67,-0.206,-0.00869
6.04,0.653,0.594,-0.166
6.19,-0.19,-0.648,0.259
6.34,-0.347,0.329,-0.199
6.49,0.748,0.173,0.0375
6.65,-0.713,-0.585,0.149
6.8,0.313,0.665,-0.245
6.95,0.257,-0.376,0.203
7.1,-0.664,-0.126,-0.0426
7.25,0.674,0.552,-0.144
7.4,-0.3,-0.665,0.25
7.55,-0.275,0.4,-0.219
7.7,0.692,0.0932,0.0647
7.85,-0.752,-0.536,0.122
8,0.385,0.679,-0.24
8.16,0.17,-0.441,0.218
8.31,-0.627,-0.0433,-0.0735
8.46,0.707,0.502,-0.117
8.61,-0.38,-0.673,0.242
8.76,-0.177,0.464,-0.233
8.91,0.648,0.0104,0.0945
9.06,-0.764,-0.48,0.0955
9.21,0.465,0.682,-0.229
9.36,0.0875,-0.501,0.232
9.52,-0.574,0.0389,-0.102
9.67,0.729,0.443,-0.0873
9.82,-0.456,-0.672,0.23
9.97,-0.0828,0.52,-0.244
10.1,0.589,-0.0728,0.122
10.3,-0.773,-0.418,0.0666
10.4,0.533,0.675,-0.216
10.6,-0.00333,-0.553,0.242
10.7,-0.517,0.121,-0.13
10.9,0.734,0.377,-0.0577
11,-0.527,-0.661,0.214
11.2,0.00998,0.569,-0.251
11.3,0.522,-0.154,0.148
11.5,-0.771,-0.349,0.0366
11.6,0.594,0.658,-0.199
11.8,-0.0938,-0.597,0.248
11.9,-0.45,0.202,-0.155
12.1,0.73,0.306,-0.0269
12.2,-0.587,-0.639,0.195
12.4,0.104,0.609,-0.255
12.5,0.448,-0.234,0.172
12.7,-0.757,-0.275,0.00606
12.8,0.648,0.631,-0.179
13,-0.183,-0.633,0.25
13.1,-0.376,0.279,-0.178
13.3,0.714,0.23,0.00405
13.4,-0.639,-0.608,0.174
13.6,0.195,0.64,-0.255
13.7,0.369,-0.31,0.194
13.9,-0.733,-0.198,-0.0247
14,0.692,0.595,-0.157
14.2,-0.27,-0.659,0.248
14.3,-0.296,0.352,-0.198
14.5,0.686,0.151,0.0349
14.7,-0.681,-0.567,0.15
14.8,0.283,0.662,-0.251
15,0.283,-0.381,0.212
15.1,-0.698,-0.117,-0.0551
15.3,0.727,0.55,-0.132
15.4,-0.354,-0.675,0.243
15.6,-0.211,0.421,-0.216
15.7,0.648,0.0695,0.0652
15.9,-0.712,-0.519,0.123
16,0.366,0.673,-0.244
16.2,0.195,-0.446,0.228
16.3,-0.653,-0.0344,-0.0847
16.5,0.751,0.497,-0.105
16.6,-0.432,-0.681,0.234
16.8,-0.122,0.483,-0.23
16.9,0.601,-0.0132,0.0945
17.1,-0.732,-0.462,0.0954
17.2,0.443,0.675,-0.233
17.4,0.103,-0.505,0.24
17.5,-0.599,0.0485,-0.113
17.7,0.764,0.437,-0.0762
17.8,-0.505,-0.677,0.221
18,-0.0319,0.537,-0.24
18.1,0.543,-0.0957,0.122
18.3,-0.741,-0.398,0.066
18.4,0.514,0.666,-0.218
18.6,0.0106,-0.556,0.249
18.7,-0.536,0.131,-0.14
18.9,0.766,0.37,-0.0464
19,-0.57,-0.664,0.205
19.2,0.0596,0.584,-0.247
19.3,0.478,-0.177,0.148
19.5,-0.739,-0.329,0.0357
19.6,0.576,0.647,-0.201
19.8,-0.0817,-0.599,0.254
19.9,-0.465,0.211,-0.165
20.1,0.757,0.298,-0.0158
20.2,-0.627,-0.64,0.186
20.4,0.15,0.622,-0.25
20.5,0.405,-0.255,0.172
20.7,-0.725,-0.254,0.00483
20.8,0.63,0.619,-0.18
21,-0.173,-0.632,0.255
21.1,-0.388,0.288,-0.187
21.3,0.736,0.221,0.0149
21.4,-0.676,-0.606,0.164
21.6,0.238,0.652,-0.25
21.7,0.325,-0.33,0.193
21.9,-0.701,-0.175,-0.0262
22.1,0.673,0.581,-0.157
22.2,-0.262,-0.656,0.252
22.4,-0.305,0.361,-0.207
22.5,0.705,0.141,0.0455
22.7,-0.713,-0.564,0.14
22.8,0.325,0.671,-0.245
23,0.243,-0.401,0.211
23.1,-0.663,-0.0953,-0.0563
23.3,0.71,0.534,-0.131
23.4,-0.343,-0.672,0.246
23.6,-0.215,0.426,-0.223
23.7,0.667,0.0576,0.076
23.9,-0.738,-0.515,0.114
24,0.407,0.679,-0.237
24.2,0.155,-0.465,0.226
24.3,-0.62,-0.0128,-0.0858
24.5,0.73,0.48,-0.104
24.6,-0.427,-0.675,0.236
24.8,-0.132,0.49,-0.237
24.9,0.606,-0.0215,0.104
25.1,-0.766,-0.452,0.0842
25.2,0.47,0.683,-0.227
25.4,0.0519,-0.517,0.236
25.5,-0.576,0.0757,-0.116
25.7,0.733,0.424,-0.0764
25.8,-0.504,-0.665,0.221
26,-0.04,0.545,-0.247
26.1,0.553,-0.104,0.131
26.3,-0.757,-0.391,0.0557
26.4,0.561,0.665,-0.21
26.6,-0.00782,-0.577,0.248
26.7,-0.473,0.142,-0.138
26.9,0.778,0.337,-0.0406
27,-0.521,-0.671,0.211
27.2,0.107,0.565,-0.245
