Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
0,-3.62,2.12,1.81
0.151,-2.81,2.8,2.71
0.302,2.9,-1.03,-0.947
0.453,1.5,-1.18,-0.888
0.604,1.54,-0.815,-0.569
0.755,0.305,-0.421,-0.523
0.906,0.337,-0.147,0.131
1.06,0.961,-0.363,-0.388
1.21,0.16,-0.398,-0.39
1.36,0.0946,0.105,0.286
1.51,0.464,-0.296,-0.461
1.66,-0.598,0.144,0.222
1.81,0.345,0.0682,0.109
1.96,-0.25,-0.086,-0.279
2.11,-0.431,0.276,0.444
2.27,0.247,0.019,-0.121
2.42,-0.51,0.0242,-0.0281
2.57,-0.135,0.299,0.425
2.72,0.208,-0.161,-0.359
2.87,-0.623,0.205,0.299
3.02,0.383,0.058,0.0801
3.17,-0.17,-0.133,-0.292
3.32,-0.232,0.206,0.401
3.47,0.459,-0.122,-0.249
3.62,-0.353,-0.0566,-0.0574
3.78,0.139,0.161,0.303
3.93,0.32,-0.26,-0.437
4.08,-0.449,0.131,0.264
4.23,0.513,-0.0311,-0.018
4.38,-0.142,-0.17,-0.303
4.53,-0.151,0.185,0.385
4.68,0.459,-0.157,-0.299
4.83,-0.407,-0.0202,-0.00163
4.98,0.167,0.156,0.276
5.14,0.209,-0.231,-0.416
5.29,-0.477,0.176,0.318
5.44,0.473,-0.0223,-0.0414
5.59,-0.246,-0.123,-0.245
5.74,-0.149,0.215,0.406
5.89,0.401,-0.154,-0.316
6.04,-0.462,0.0273,0.0644
6.19,0.207,0.146,0.245
6.34,0.138,-0.219,-0.401
6.49,-0.447,0.193,0.348
6.65,0.491,-0.0483,-0.0897
6.8,-0.284,-0.109,-0.209
6.95,-0.0812,0.205,0.393
7.1,0.39,-0.18,-0.351
7.25,-0.464,0.0465,0.108
7.4,0.276,0.113,0.195
7.55,0.0888,-0.219,-0.394
7.7,-0.4,0.199,0.367
7.85,0.506,-0.0776,-0.14
8,-0.324,-0.0902,-0.169
8.16,-0.022,0.197,0.377
8.31,0.356,-0.194,-0.375
8.46,-0.474,0.0736,0.156
8.61,0.321,0.0892,0.149
8.76,0.0231,-0.207,-0.373
8.91,-0.362,0.211,0.387
9.06,0.503,-0.0989,-0.184
9.21,-0.37,-0.0643,-0.122
9.36,0.0326,0.189,0.359
9.52,0.313,-0.203,-0.391
9.67,-0.478,0.1,0.203
9.82,0.363,0.064,0.102
9.97,-0.039,-0.193,-0.349
10.1,-0.316,0.218,0.4
10.3,0.498,-0.122,-0.226
10.4,-0.406,-0.0397,-0.0745
10.6,0.0916,0.176,0.333
10.7,0.268,-0.21,-0.403
10.9,-0.47,0.123,0.245
11,0.401,0.0365,0.0517
11.2,-0.0986,-0.178,-0.32
11.3,-0.265,0.222,0.407
11.5,0.485,-0.143,-0.266
11.6,-0.437,-0.0142,-0.0257
11.8,0.149,0.16,0.302
11.9,0.218,-0.214,-0.408
12.1,-0.456,0.144,0.283
12.2,0.431,0.00952,0.00152
12.4,-0.157,-0.16,-0.286
12.5,-0.211,0.223,0.409
12.7,0.465,-0.162,-0.301
12.8,-0.463,0.0122,0.0239
13,0.204,0.142,0.267
13.1,0.164,-0.214,-0.407
13.3,-0.435,0.163,0.317
13.4,0.455,-0.0176,-0.0486
13.6,-0.213,-0.14,-0.247
13.7,-0.154,0.22,0.404
13.9,0.439,-0.179,-0.332
14,-0.481,0.0383,0.0731
14.2,0.257,0.122,0.227
14.3,0.108,-0.211,-0.4
14.5,-0.407,0.179,0.347
14.7,0.472,-0.0443,-0.098
14.8,-0.265,-0.118,-0.206
15,-0.0951,0.215,0.393
15.1,0.407,-0.193,-0.358
15.3,-0.493,0.064,0.121
15.4,0.306,0.0993,0.185
15.6,0.0494,-0.205,-0.387
15.7,-0.372,0.193,0.371
15.9,0.481,-0.0703,-0.146
16,-0.314,-0.0937,-0.161
16.2,-0.035,0.207,0.376
16.3,0.368,-0.205,-0.379
16.5,-0.498,0.0888,0.168
16.6,0.351,0.0753,0.139
16.8,-0.00988,-0.195,-0.368
16.9,-0.332,0.203,0.389
17.1,0.483,-0.0951,-0.192
17.2,-0.357,-0.0685,-0.114
17.4,0.0254,0.195,0.354
17.5,0.324,-0.213,-0.394
17.7,-0.495,0.112,0.211
17.8,0.39,0.0501,0.0914
18,-0.0692,-0.183,-0.343
18.1,-0.287,0.211,0.402
18.3,0.478,-0.118,-0.234
18.4,-0.395,-0.0424,-0.0648
18.6,0.0851,0.181,0.327
18.7,0.276,-0.219,-0.404
18.9,-0.485,0.135,0.252
19,0.424,0.0241,0.0424
19.2,-0.128,-0.168,-0.314
19.3,-0.238,0.215,0.409
19.5,0.465,-0.14,-0.274
19.6,-0.426,-0.0157,-0.015
19.8,0.144,0.164,0.295
19.9,0.224,-0.221,-0.407
20.1,-0.468,0.154,0.289
20.2,0.453,-0.00247,-0.00724
20.4,-0.184,-0.15,-0.279
20.5,-0.184,0.216,0.409
20.7,0.446,-0.159,-0.309
20.8,-0.451,0.011,0.0351
21,0.2,0.144,0.258
21.1,0.168,-0.22,-0.404
21.3,-0.445,0.172,0.322
21.4,0.473,-0.0288,-0.0569
21.6,-0.239,-0.13,-0.241
21.7,-0.128,0.214,0.404
21.9,0.418,-0.176,-0.34
22.1,-0.471,0.0382,0.0844
22.2,0.252,0.124,0.217
22.4,0.109,-0.215,-0.396
22.5,-0.416,0.188,0.35
22.7,0.487,-0.0544,-0.106
22.8,-0.29,-0.107,-0.199
23,-0.0698,0.209,0.392
23.1,0.386,-0.19,-0.365
23.3,-0.48,0.0636,0.133
23.4,0.304,0.0993,0.174
23.6,0.0534,-0.209,-0.38
23.7,-0.375,0.199,0.373
23.9,0.499,-0.0817,-0.152
24,-0.331,-0.0856,-0.154
24.2,-0.00569,0.198,0.376
24.3,0.351,-0.204,-0.385
24.5,-0.482,0.0871,0.18
24.6,0.349,0.0738,0.127
24.8,-0.00816,-0.199,-0.36
24.9,-0.338,0.21,0.389
25.1,0.491,-0.103,-0.198
25.2,-0.384,-0.0568,-0.108
25.4,0.0404,0.191,0.351
25.5,0.291,-0.206,-0.402
25.7,-0.496,0.118,0.22
25.8,0.37,0.0558,0.076
26,-0.0849,-0.178,-0.337
26.1,-0.305,0.223,0.398
26.3,0.475,-0.121,-0.241
26.4,-0.422,-0.0283,-0.0593
26.6,0.107,0.176,0.324
26.7,0.261,-0.216,-0.407
26.9,-0.455,0.13,0.266
27,0.445,0.014,0.0342
27.2,-0.0889,-0.183,-0.297
27.3,-0.188,0.2,0.415
27.5,0.535,-0.173,-0.267
27.6,-0.377,-0.0337,0.00254
27.8,0.235,0.126,0.303
27.9,0.28,-0.253,-0.396
28.1,-0.364,0.111,0.318
28.2,0.508,-0.034,-0.0126
28.4,-0.223,-0.136,-0.287
28.5,-0.366,0.292,0.359
28.7,0.142,-0.0483,-0.372
28.8,-0.897,0.188,-0.038
29,-0.259,0.344,0.157
29.1,-0.399,0.0836,-0.551
29.3,-1.08,0.529,0.165
29.5,0.742,-0.226,0.115
29.6,2.87,-1.79,0.797
29.8,3.86,-1.57,1.25
29.9,-1.63,1.29,-1.7
30.1,-7.87,3.53,-1.98
30.2,-1.17,0.173,1.27
30.4,6.81,-3.36,2.19
30.5,4.05,-1.2,-0.0883
30.7,-1.04,0.658,-2.15
30.8,-4.35,1.14,-0.491
31,-5.43,2.46,0.632
31.1,0.478,-0.142,0.397
31.3,10.3,-4.55,2.52
31.4,7.21,-2.32,0.153
31.6,-11.2,4.83,-4.86
31.7,-15.5,5.65,-1.98
31.9,1.15,-0.884,3.29
32,12.8,-4.56,3.64
32.2,10.5,-3.5,0.0322
32.3,-1.07,-0.248,-3.36
32.5,-9.73,2.77,-1.17
32.6,-4.35,1.45,2.31
32.8,1.58,0.478,1.02
32.9,2.01,1.5,-1.42
33.1,4.78,-2.21,-0.413
33.2,4.44,-5.34,2.02
33.4,-1.66,-0.559,-0.4
33.5,-7.55,5.73,-3.32
33.7,-6.47,5.07,0.258
33.8,1.19,-1.18,2.6
34,3.2,-3.02,-0.567
34.1,-0.35,0.412,-2.97
34.3,0.701,-0.125,-0.335
34.4,6.1,-3.75,5.22
34.6,7.25,-3.02,3.47
34.7,-2.16,2.59,-4.37
34.9,-9.39,4.64,-3.75
35,-1.51,-1.66,3.06
35.2,8,-4.91,3.53
35.3,3.31,2.35,-3.27
35.5,-13.5,9.05,-7.53
35.6,-17.7,3.91,-0.563
35.8,6.96,-8.51,8.68
35.9,26.7,-11.2,6.26
36.1,11.9,-0.0161,-3.95
36.2,-13.7,8.12,-7.3
36.4,-21,7.21,-0.017
36.6,-6.45,2.4,4.4
36.7,13.3,-5.92,0.865
36.9,17,-8.84,-0.841
37,1.33,-0.0414,-1.28
37.2,-12.9,6.9,-1.47
37.3,-5.34,1.57,2.51
37.5,7.46,-4.59,2.68
37.6,1.73,-0.398,-2.47
37.8,-5.2,3.72,-2.76
37.9,-0.589,-0.00169,1.48
38.1,-0.913,-2.01,2.08
38.2,-7.22,1.38,-2.57
38.4,-2.75,3.68,-2.86
38.5,13.1,0.162,3.05
38.7,15.7,-6.31,4.09
38.8,-4.33,-3.87,-0.737
39,-18.1,6.65,-4.67
39.1,-8.26,7.47,-2.37
39.3,7.73,-2.8,3.82
39.4,10.6,-7.89,2.41
39.6,0.763,-2.77,-1.89
39.7,-2.63,0.975,1.83
39.9,7.7,-3.66,5.82
40,10.7,-4.41,1.35
40.2,-7.69,7.64,-9.27
40.3,-28.8,17.3,-11.5
40.5,-19.6,7.63,2.29
40.6,17.5,-12.5,11
40.8,33.9,-16.6,2.58
40.9,7.2,0.0863,-5.48
41.1,-25.5,12,-1.66
41.2,-23.8,6.12,4.39
41.4,9.51,-6.38,2.66
41.5,34.5,-11.7,0.14
41.7,16.7,-2.57,-0.527
41.8,-25.6,9.77,-4.75
42,-33.5,8.3,-3.44
42.1,5.47,-3.63,4.39
42.3,31.5,-10.4,5.35
42.4,13.6,-2.72,-0.836
42.6,-13.3,10,-6.35
42.7,-25.1,11.5,-4.29
42.9,-17.4,0.938,3.55
43,8.33,-8.41,4.09
43.2,23.3,-5.4,-2.73
43.3,12.9,0.655,-4.07
43.5,1.06,-3.92,4.49
43.6,-2.39,-8.73,12.2
43.8,-6.26,0.584,3.52
44,-12.2,16.9,-14.2
44.1,-12.8,16.8,-14.4
44.3,1.42,-6.55,3.96
44.4,21,-23.4,13.9
44.6,19.5,-11.7,3.87
44.7,-9.19,10.9,-7.98
44.9,-29.2,19.4,-4.15
45,-9.59,5.16,6.24
45.2,19,-13.8,6.5
45.3,17.1,-12.2,-4.29
45.5,-2.62,4.63,-12.3
45.6,-8.77,13.2,-4.05
45.8,2.06,5.5,9.96
45.9,0.959,-5.58,9.24
46.1,-18.8,-5.46,-3.91
46.2,-15.7,-0.247,-10
46.4,22.7,-3.08,2.24
46.5,45.5,-9.85,16
46.7,14,-6.81,7.71
46.8,-33.5,6.37,-11.6
47,-43.5,16,-17.3
47.1,-19.5,14.1,-5.69
47.3,14.5,0.215,10.2
47.4,34.8,-15.3,11.4
47.6,19.8,-10.3,-3
47.7,-13.2,10.2,-11.9
47.9,-24.2,11.6,-3.7
48,4.68,-12.9,12.9
48.2,39.8,-26.6,19.2
48.3,17.8,-1.79,2.84
48.5,-47.1,31.9,-21.6
48.6,-59.6,26.4,-22.7
48.8,2.24,-9.58,5.32
48.9,58,-28,24.5
49.1,44,-11.1,6.96
49.2,-12.2,11,-14.3
49.4,-35.8,5.96,-7.04
49.5,-12,-6.69,5.23
49.7,7.95,5.89,-0.478
49.8,-3.44,21.3,-6.13
50,-16,5.76,4.21
50.1,9.87,-28.6,15
50.3,46.8,-39.2,8.76
50.4,29.4,-0.388,-10.4
50.6,-34.9,45.4,-23.6
50.7,-67.5,37.2,-10.5
50.9,-28.1,-5.96,16.8
51,31.2,-26,20.1
51.2,50,-18.8,0.581
51.4,33.6,-11.6,-9.58
51.5,4.4,-2.01,-4.49
51.7,-24.4,18.5,1.44
51.8,-33.3,28.9,-1.72
52,-18.9,17.3,-10.1
52.1,-0.991,-3.08,-9.87
52.3,11.2,-29.9,7.11
52.4,27,-48.1,26.6
52.6,28.7,-24.7,18.2
52.7,-14.8,23.2,-9.61
52.9,-62.4,44,-18
53,-38.5,24.5,-8.96
53.2,45.3,-2.68,-1.78
53.3,89.6,-7.53,0.806
53.5,31.1,-2.52,-0.0894
53.6,-63.9,-6.85,1.19
53.8,-81.9,-7.34,3.7
53.9,-10.9,1.24,2.31
54.1,55.7,4.67,-1.17
54.2,46.1,5.12,-7.41
54.4,-6.22,7.31,-9.84
54.5,-25.3,-8.97,6.52
54.7,-4.55,-45.2,35.9
54.8,15.8,-50.9,39.5
55,22.7,5.29,-10.2
55.1,2.23,73.2,-66
55.3,-49.2,83.4,-52.2
55.4,-67.7,32.9,11.9
55.6,-5.68,-32.9,45.4
55.7,67,-69.7,24.6
55.9,50.1,-56,-7.39
56,-15.2,-7.77,-8.4
56.2,-10.6,34.7,6.02
56.3,28.8,40.9,-0.345
56.5,-7.08,13.7,-16.3
56.6,-57.8,-18.7,-4.65
56.8,-15.9,-27.3,25
56.9,50.6,-7.16,19.4
57.1,43.7,8.77,-15.4
57.2,-5.41,-1.28,-23.5
57.4,-37.6,-12.9,-5.58
57.5,-36.2,6.41,7.43
57.7,-0.968,38.4,11.1
57.8,23.4,27.9,-1.14
58,-1.34,-6.61,-21.1
58.1,-19,-8.35,-12.3
58.3,10.9,-6.39,26.7
58.4,34.4,-31,41
58.6,13.3,-35,-2.01
58.8,-20.6,4.09,-50.4
58.9,-21.8,30.1,-33.7
59.1,5.43,7.13,28.2
59.2,13.5,-13.2,52.8
59.4,-12.8,7.8,15.5
59.5,-28,29.5,-29.2
59.7,6.03,20.5,-40.7
59.8,53.5,-7.77,-21.1
60,39.7,-37.3,17.7
60.1,-34.1,-39.3,46.3
60.3,-62.4,-5.73,31
60.4,2.23,27,-21.7
60.6,43.2,32.9,-63.9
60.7,-15.6,20.9,-44.8
60.9,-48.9,-4.37,32.4
61,25.2,-33,85.4
61.2,69.4,-22.8,41.2
