Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
0,1.202,0.0838,0.984
0.151,0.73,0.948,1.366
0.302,-1.12,0.402,-0.488
0.453,-0.352,-0.292,-0.528
0.604,-0.52,0.0524,-0.356
0.755,-0.0782,-0.208,-0.23
0.906,-0.0398,0.0294,-0.021
1.06,-0.412,0.1408,-0.183
1.21,0.0382,-0.262,-0.1972
1.36,-0.0338,0.1436,0.0872
1.51,-0.21,-0.0374,-0.178
1.66,0.296,-0.1518,0.085
1.81,-0.1924,0.22,0.0426
1.96,0.0956,-0.1892,-0.0796
2.11,0.2,0.0352,0.168
2.27,-0.1852,0.132,-0.01554
2.42,0.252,-0.22,0.000304
2.57,0.01774,0.1956,0.1732
2.72,-0.122,-0.045,-0.1172
2.87,0.3,-0.1138,0.1184
3.02,-0.214,0.226,0.034
3.17,0.0806,-0.194,-0.0966
3.32,0.1252,0.0674,0.1384
3.47,-0.25,0.1098,-0.083
3.62,0.21,-0.216,-0.03
3.78,-0.0812,0.206,0.1082
3.93,-0.145,-0.077,-0.163
4.08,0.242,-0.0948,0.0896
4.23,-0.26,0.212,-0.01196
4.38,0.0854,-0.212,-0.11
4.53,0.0888,0.0884,0.129
4.68,-0.244,0.0804,-0.1034
4.83,0.232,-0.208,-0.0084
4.98,-0.1018,0.214,0.1016
5.14,-0.0972,-0.104,-0.1502
5.29,0.244,-0.0688,0.1138
5.44,-0.252,0.2,-0.01372
5.59,0.1296,-0.22,-0.0848
5.74,0.0754,0.1146,0.1422
5.89,-0.22,0.0554,-0.1056
6.04,0.252,-0.194,0.01864
6.19,-0.1262,0.224,0.0928
6.34,-0.0622,-0.1268,-0.144
6.49,0.228,-0.0406,0.1248
6.65,-0.26,0.186,-0.031
6.8,0.1526,-0.226,-0.0736
6.95,0.041,0.138,0.137
7.1,-0.21,0.0282,-0.1202
7.25,0.256,-0.178,0.0328
7.4,-0.1584,0.228,0.0734
7.55,-0.0338,-0.1494,-0.1426
7.7,0.204,-0.0132,0.1304
7.85,-0.266,0.168,-0.0496
8,0.1754,-0.228,-0.0604
8.16,0.00924,0.1588,0.1318
8.31,-0.1894,5.62e-06,-0.1292
8.46,0.26,-0.1594,0.0502
8.61,-0.1822,0.228,0.0576
8.76,0.000208,-0.1696,-0.1352
8.91,0.1836,0.01474,0.1382
9.06,-0.264,0.148,-0.0644
9.21,0.1988,-0.228,-0.0436
9.36,-0.0212,0.1776,0.126
9.52,-0.166,-0.0278,-0.135
9.67,0.26,-0.138,0.0672
9.82,-0.204,0.226,0.0408
9.97,0.0328,-0.187,-0.1266
10.1,0.1584,0.0426,0.143
10.3,-0.262,0.1258,-0.0796
10.4,0.218,-0.222,-0.027
10.6,-0.0528,0.1938,0.1172
10.7,-0.1408,-0.055,-0.1396
10.9,0.254,-0.1148,0.0822
11,-0.222,0.22,0.0232
11.2,0.0646,-0.202,-0.1166
11.3,0.1308,0.0696,0.1456
11.5,-0.254,0.1014,-0.0938
11.6,0.234,-0.216,-0.00996
11.8,-0.0836,0.206,0.1066
11.9,-0.1134,-0.0816,-0.142
12.1,0.246,-0.09,0.096
12.2,-0.238,0.212,0.00532
12.4,0.0954,-0.214,-0.1048
12.5,0.1018,0.0956,0.1464
12.7,-0.242,0.0758,-0.1064
12.8,0.248,-0.204,0.00758
13,-0.113,0.216,0.0944
13.1,-0.084,-0.107,-0.142
13.3,0.232,-0.0636,0.1084
13.4,-0.25,0.1988,-0.01242
13.6,0.1246,-0.222,-0.0916
13.7,0.0712,0.1202,0.145
13.9,-0.228,0.049,-0.1176
14,0.256,-0.1902,0.025
14.2,-0.1408,0.224,0.0808
14.3,-0.0534,-0.1308,-0.1398
14.5,0.216,-0.0364,0.119
14.7,-0.258,0.1834,-0.03
14.8,0.152,-0.228,-0.077
15,0.0396,0.143,0.1414
15.1,-0.21,0.0214,-0.1272
15.3,0.262,-0.1736,0.042
15.4,-0.1668,0.228,0.0658
15.6,-0.0218,-0.1526,-0.1356
15.7,0.1976,-0.00866,0.1278
15.9,-0.262,0.1654,-0.047
16,0.177,-0.23,-0.0612
16.2,0.00758,0.1638,0.136
16.3,-0.1884,-0.00646,-0.1348
16.5,0.264,-0.1542,0.0584
16.6,-0.1902,0.228,0.05
16.8,0.01008,-0.172,-0.1292
16.9,0.1752,0.01924,0.1348
17.1,-0.262,0.1448,-0.0634
17.2,0.1994,-0.228,-0.0446
17.4,-0.0246,0.182,0.1284
17.5,-0.1644,-0.0342,-0.1404
17.7,0.262,-0.1326,0.0742
17.8,-0.21,0.224,0.0332
18,0.0418,-0.189,-0.121
18.1,0.1504,0.0468,0.1396
18.3,-0.258,0.1222,-0.0786
18.4,0.218,-0.222,-0.0276
18.6,-0.0564,0.1976,0.119
18.7,-0.1382,-0.0616,-0.1442
18.9,0.256,-0.109,0.0886
19,-0.228,0.218,0.01596
19.2,0.073,-0.204,-0.1108
19.3,0.1232,0.0738,0.1424
19.5,-0.25,0.0976,-0.0928
19.6,0.234,-0.214,-0.00996
19.8,-0.0874,0.21,0.1078
19.9,-0.1098,-0.088,-0.1456
20.1,0.246,-0.0836,0.102
20.2,-0.242,0.208,-0.00152
20.4,0.1032,-0.214,-0.099
20.5,0.094,0.0996,0.143
20.7,-0.238,0.0718,-0.1054
20.8,0.248,-0.202,0.00776
21,-0.117,0.22,0.0952
21.1,-0.0798,-0.113,-0.145
21.3,0.232,-0.0572,0.1138
21.4,-0.252,0.1948,-0.01914
21.6,0.132,-0.222,-0.0856
21.7,0.0638,0.1238,0.1412
21.9,-0.222,0.0446,-0.1166
22.1,0.256,-0.1884,0.0252
22.2,-0.1444,0.226,0.0808
22.4,-0.0482,-0.1366,-0.1424
22.5,0.214,-0.03,0.1238
22.7,-0.26,0.1788,-0.0364
22.8,0.1586,-0.226,-0.071
23,0.0322,0.1462,0.1376
23.1,-0.204,0.01708,-0.126
23.3,0.26,-0.171,0.0424
23.4,-0.171,0.23,0.0658
23.6,-0.01734,-0.1576,-0.1372
23.7,0.1936,-0.001604,0.1326
23.9,-0.264,0.1608,-0.0528
24,0.1816,-0.228,-0.0548
24.2,-0.00119,0.167,0.1322
24.3,-0.1842,-0.01024,-0.1328
24.5,0.262,-0.1508,0.0594
24.6,-0.1944,0.228,0.0496
24.8,0.01508,-0.1766,-0.1302
24.9,0.1716,0.026,0.1386
25.1,-0.26,0.139,-0.0694
25.2,0.206,-0.226,-0.0392
25.4,-0.0292,0.1832,0.1232
25.5,-0.1552,-0.0398,-0.1398
25.7,0.264,-0.1308,0.0732
25.8,-0.21,0.222,0.0308
26,0.0524,-0.1952,-0.1232
26.1,0.1506,0.0514,0.1412
26.3,-0.252,0.1144,-0.0856
26.4,0.226,-0.222,-0.0226
26.6,-0.062,0.1984,0.1138
26.7,-0.1328,-0.0656,-0.142
26.9,0.25,-0.1042,0.0898
27,-0.238,0.22,0.0168
27.2,0.0688,-0.204,-0.1082
27.3,0.1052,0.085,0.149
27.5,-0.264,0.0976,-0.093
27.6,0.22,-0.204,0.001526
27.8,-0.112,0.218,0.109
27.9,-0.1208,-0.0844,-0.1374
28.1,0.228,-0.073,0.1072
28.2,-0.254,0.212,0.00127
28.4,0.1044,-0.214,-0.0968
28.5,0.0934,0.1048,0.1444
28.7,-0.22,0.0602,-0.1144
28.8,0.278,-0.208,0.0056
29,-0.0848,0.206,0.0788
29.1,-0.0238,-0.1358,-0.1578
29.3,0.294,-0.0798,0.092
29.5,-0.1712,0.158,-0.0478
29.6,0.218,-0.258,-0.1106
29.8,0.1092,0.109,0.1274
29.9,-0.179,0.01764,-0.1392
30.1,0.374,-0.246,-0.021
30.2,0.0398,0.1336,0.00904
30.4,-0.0762,-0.112,-0.1002
30.5,-0.4,0.268,0.358
30.7,-1.128,0.546,0.21
30.8,-0.0982,-0.1672,-0.0704
31,0.302,0.01748,0.0648
31.1,-0.1594,-0.01834,-0.0778
31.3,0.35,-0.294,-0.0256
31.4,0.216,0.0682,-0.0484
31.6,-0.1034,0.0434,0.0236
31.7,-0.446,0.37,0.326
31.9,-0.434,0.214,-0.0872
32,1.242,-0.752,-0.438
32.2,2.52,-1.142,-0.856
32.3,2.48,-1.288,-1.054
32.5,-0.488,0.602,0.826
32.6,-4.46,2.46,1.714
32.8,-2.54,0.75,0.1384
32.9,0.892,-0.342,-0.316
33.1,0.626,-0.274,-0.048
33.2,0.612,-1.112,-0.448
33.4,0.856,-0.68,-0.428
33.5,0.0222,0.37,0.266
33.7,-1.638,1.332,0.996
33.8,-2.66,1.6,0.768
34,-0.00706,-0.0728,0.0778
34.1,3.1,-1.59,-0.964
34.3,3.32,-1.986,-1.934
34.4,2.1,-1.222,-0.788
34.6,0.344,-0.0304,0.318
34.7,-0.978,0.506,0.3
34.9,-2.7,2.08,1.432
35,-3.78,2.32,1.428
35.2,-1.482,-0.000424,0.0338
35.3,0.604,-0.846,-0.432
35.5,0.856,-1.082,-0.806
35.6,1.262,-1.098,-0.546
35.8,0.376,0.428,0.51
35.9,-0.336,0.75,0.662
36.1,0.748,0.1958,-0.01146
36.2,1.694,-0.0606,-0.62
36.4,1.52,-0.752,-0.564
36.6,-0.0836,-0.7,-0.528
36.7,-0.366,-0.404,-0.508
36.9,0.976,-0.216,0.298
37,-0.78,0.288,0.358
37.2,-2.54,0.01634,-0.302
37.3,-0.76,0.384,0.266
37.5,-0.27,1.71,1.372
37.6,-2.36,1.868,1.572
37.8,-2.1,0.318,0.22
37.9,2.14,-2.02,-1.18
38.1,4.54,-2.22,-1.08
38.2,2.24,-0.714,-1.242
38.4,-1.07,0.484,-0.454
38.5,-2.1,1.486,1.294
38.7,0.104,0.628,0.42
38.8,-0.89,1.008,0.838
39,-5.92,2.96,2.78
39.1,-1.362,-1.248,-0.682
39.3,8.7,-6.46,-5.16
39.4,6.72,-3.64,-3.2
39.6,-1.012,1.38,1.184
39.7,-1.808,2.88,2.22
39.9,-0.506,2.58,1.76
40,-2.88,2.5,2.38
40.2,-4.36,1.682,1.348
40.3,0.0608,-1.67,-1.494
40.5,2.46,-3.04,-2.3
40.6,-0.94,-0.912,-1.44
40.8,-1.176,0.826,0.358
40.9,-2.78,2.88,3.36
41.1,-4.42,2.08,2.58
41.2,6.74,-4.14,-3.44
41.4,13.76,-6.16,-5.58
41.5,1.192,-0.01796,-0.0604
41.7,-10.38,4.76,3.54
41.8,-4.26,2.34,1.004
42,5.3,-0.922,-0.34
42.1,-1.532,2.12,2.4
42.3,-10.76,4.12,3.28
42.4,0.1952,-3.04,-1.906
42.6,12.88,-9.1,-7.44
42.7,4.7,-3.3,-4.02
42.9,-8.44,6.92,5.34
43,-5.42,7.04,7.12
43.2,7.3,-2.28,-0.886
43.3,8.86,-5.36,-5.24
43.5,-2.06,0.0376,-1.102
43.6,-7.94,2.18,1.696
