Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
26.6,0.686,-0.458,-0.488
26.7,-0.316,0.36,0.486
26.9,-0.236,-0.058,-0.21
27,0.642,-0.274,-0.1832
27.2,-0.708,0.458,0.478
27.3,0.34,-0.374,-0.496
27.5,0.175,0.0948,0.246
27.6,-0.648,0.258,0.1578
27.8,0.692,-0.44,-0.454
27.9,-0.412,0.4,0.514
28.1,-0.1634,-0.1066,-0.262
28.2,0.592,-0.222,-0.1184
28.4,-0.724,0.446,0.448
28.5,0.434,-0.408,-0.516
28.7,0.1206,0.1386,0.294
28.8,-0.55,0.1924,0.0826
29,0.768,-0.446,-0.436
29.1,-0.412,0.398,0.504
29.3,0.01076,-0.1946,-0.342
29.5,0.638,-0.214,-0.0874
29.6,-0.64,0.388,0.38
29.8,0.556,-0.456,-0.544
29.9,0.0584,0.1738,0.328
30.1,-0.4,0.09,-0.023
30.2,0.934,-0.508,-0.454
30.4,-0.544,0.444,0.542
30.5,-0.59,0.0556,-0.1638
30.7,-0.454,0.27,0.266
30.8,-1.072,0.514,0.414
31,0.838,-0.596,-0.604
31.1,0.0418,0.1614,0.402
31.3,-0.348,0.0057,-0.0792
31.4,1.034,-0.492,-0.42
31.6,-0.772,0.668,0.676
31.7,-0.564,0.1738,-0.1294
31.9,0.302,-0.01476,0.0706
32,0.61,-0.336,-0.214
32.2,3.52,-1.896,-1.592
32.3,2.68,-0.97,-0.432
32.5,-1.324,0.802,0.602
32.6,-4.2,2.14,1.432
32.8,-3.84,1.79,1.108
32.9,1.208,-1.008,-1.038
33.1,2.34,-1.286,-0.478
33.2,0.31,-0.668,-0.224
33.4,0.544,-0.526,-0.502
33.5,-1.738,1.598,1.348
33.7,-2.6,1.644,0.914
33.8,-0.734,0.4,0.24
34,0.66,-0.502,-0.0634
34.1,4.08,-2.42,-1.978
34.3,3.76,-1.48,-1.128
34.4,1.128,-0.089,-0.1142
34.6,0.78,-0.298,-0.15
34.7,-2.82,1.408,1.31
34.9,-4.36,1.876,0.922
35,-1.772,0.858,0.348
35.2,-0.312,-0.1136,0.04
35.3,1.686,-1.522,-1.106
35.5,0.582,-0.4,0.167
35.6,-1.986,0.89,0.828
35.8,-1.358,0.758,0.446
35.9,-0.00938,0.626,0.504
36.1,3.5,-1.14,-0.988
36.2,4.46,-1.702,-1.024
36.4,1.636,-1.164,-1.062
36.6,0.772,-0.624,-1.118
36.7,-2.28,2.12,1.87
36.9,-3.4,1.602,1.32
37,-0.66,-1.174,-0.912
37.2,-1.374,-0.376,0.0572
37.3,0.0862,-0.01578,-0.322
37.5,1.746,0.236,-0.1136
37.6,-1.532,1.206,0.984
37.8,-1.808,0.384,0.614
37.9,0.284,-0.1034,0.636
38.1,2.28,-0.98,-0.83
38.2,2.38,-0.96,-1.224
38.4,-1.94,1.254,0.686
38.5,-1.224,0.546,0.0506
38.7,2.4,-1.156,-0.574
38.8,-1.52,0.364,0.596
39,-5.22,2.5,1.736
39.1,-0.372,0.64,0.576
39.3,7.98,-5.22,-4.08
39.4,6.72,-4.92,-3.4
39.6,-2.48,1.904,1.828
39.7,-2.26,3.3,1.4
39.9,0.57,1.87,0.784
40,-4.52,2.62,2.88
40.2,-4.78,1.24,1.71
40.3,2.3,-2.42,-2.1
40.5,4.48,-3.56,-3.48
40.6,-1.958,0.8,0.626
40.8,-5.78,3.64,3.14
40.9,-3.08,1.08,0.83
41.1,-0.558,-0.912,-0.3
41.2,7.14,-3.5,-2.5
41.4,12.6,-4.7,-3.68
41.5,2.2,-0.0516,-0.274
41.7,-6.06,2.48,0.814
41.8,-2.5,1.778,1.442
42,-1.468,2.98,3.68
42.1,-8.1,4.44,3.42
42.3,-11.18,2.98,1.6
42.4,4.78,-5.62,-4.28
42.6,18.6,-11.46,-8.34
42.7,3.52,-2.32,-2.04
42.9,-10.3,7.52,4.48
43,-1.802,6,4.72
43.2,6.5,0.288,1.746
43.3,2.76,-2.24,-1.464
43.5,-5.66,-1.402,-1.728
43.6,-6.32,-0.968,-1.218
43.8,-0.202,1.168,0.1828
44,2.42,4.3,2.68
44.1,1.02,1.42,2.48
44.3,-3.42,-3.94,0.0932
44.4,-1.748,-5.08,-3.4
44.6,9.74,-3.32,-5.24
44.7,13.4,-2.8,-4.24
44.9,1.862,-1.57,-1.03
45,-14,7.8,7.46
45.2,-17.1,14.22,10.42
45.3,-2.64,3.02,-0.0804
45.5,9.24,-9.4,-6.48
45.6,8.96,-8,-3.28
45.8,2.16,-1.586,-0.394
45.9,-10.82,5.4,3.82
46.1,-13.58,10.66,7.34
46.2,3.3,3.3,1.692
46.4,19.24,-14.52,-10.3
46.5,20.8,-19.9,-14.58
46.7,7.34,-4.36,-5
46.8,-9.38,10.76,6.5
47,-15.08,13.36,11.82
47.1,-14.4,10.36,10.48
47.3,-11.06,5.2,2.88
47.4,-4.94,-0.378,-3.18
47.6,6.1,-8.88,-8.22
47.7,20.4,-13.96,-9.84
47.9,13.92,-2.82,1.848
48,-10.94,8.44,10.34
48.2,-17.14,6.56,4.12
48.3,-3.52,3.46,-2.12
48.5,6.68,-0.692,-4.56
48.6,9.3,-7.46,-4.7
48.8,10.56,-7.92,-2.46
48.9,8.9,-2.56,-0.752
49.1,-1.28,3.34,3.54
49.2,-10.9,7.26,7.4
49.4,-14.12,7.42,3.84
49.5,-13.08,1.608,-4.32
49.7,3.04,-8.22,-8.88
49.8,19.06,-9.66,-4.2
50,8.26,1.186,3.3
50.1,-10.62,12.08,8.78
50.3,-15.04,10.2,10.34
50.4,-3.22,-7.24,-2.28
50.6,15.7,-18.2,-15.8
50.7,17.8,-4.18,-7.94
50.9,0.422,12.94,7.68
51,-11.22,10.32,9.52
51.2,-4.26,-1.734,1.128
51.4,1.064,-2.34,-0.0884
51.5,-9.72,3.62,3.06
51.7,-7.42,-5.08,-6.78
51.8,13.16,-14.58,-13.92
52,13,-3.06,-0.896
52.1,-9.9,13.16,13.18
52.3,-21,16.82,13.86
52.4,-4.42,5.1,2.06
52.6,18.16,-12.98,-12.2
52.7,21,-17.58,-12.62
52.9,11.4,-7.6,-2.56
53,-0.0468,3.4,3.78
53.2,-12.46,7.78,3
53.3,-16.96,8.24,2.98
53.5,-11.62,10.44,7.24
53.6,-1.956,6.56,4.86
53.8,3.2,-5.18,-2.3
53.9,-0.1436,-13.16,-4.76
54.1,10.58,-17.26,-9.92
54.2,28.2,-12.58,-11.8
54.4,5.24,9.7,3.8
54.5,-38.2,29.4,20.6
54.7,-32.2,21,14.24
54.8,19.2,-6.14,-6.92
55,40.2,-17.66,-11.36
55.1,4.5,-8.02,-0.732
55.3,-23,-2.64,-0.346
55.4,-8.46,2.88,0.616
55.6,3.6,12.08,5.96
55.7,-0.268,-1.632,-4.4
55.9,5.6,-27,-16.74
56,12.1,-22.4,-11.24
56.2,-4.48,13.72,6.76
56.3,-24,36.4,20.6
56.5,-7.38,12.68,11.46
56.6,23.8,-19.2,-7.2
56.8,21,-11.04,-7.28
56.9,-9.86,14.64,4.64
57.1,-24.6,15.6,9.2
57.2,-1.27,-5.28,2.32
57.4,19.02,-17.18,-9
57.5,1.182,-8.3,-13.22
57.7,-14,4.18,-3.62
57.8,-3.22,4.1,8.68
58,7.74,-10,-0.348
58.1,12.48,-16.58,-17.38
58.3,7.42,5.96,-4.36
58.4,-8.8,26.8,19.74
58.6,-15.02,12.5,15.74
58.8,-4.78,-7.92,3.08
58.9,7.3,-2.96,8.08
59.1,1.004,3.52,3.8
59.2,-13.66,-10.04,-25
59.4,0.316,-12.46,-28.6
59.5,28,7.18,8.66
59.7,21.6,11.8,29.2
59.8,-17.16,3.74,12.46
60,-33.4,0.199,-12.62
60.1,-2.3,-13.6,-24.2
60.3,19.8,-24.2,-14.18
60.4,7.08,-8.56,3.12
60.6,2.22,15.66,14.98
60.7,5.46,27.6,21.6
60.9,-8.86,19.12,11.76
61,-23.6,-8,-11.38
61.2,-13.96,-23.2,-16.62
61.3,11.66,-6.1,1.196
61.5,23,10.44,6.96
61.6,12.48,4.06,-5.6
61.8,3.84,-1.596,-4.02
61.9,4.32,-3.28,6.38
62.1,-5.78,-11.76,1.298
62.2,-25.4,-0.422,2.48
62.4,-23,24.2,13.62
62.5,4.32,12.04,-2.86
62.7,21.4,-20,-31.6
62.8,21.4,-20.4,-19.42
63,14.26,-2,22.4
63.1,-11.54,2.3,30.4
63.3,-34.6,9.44,1.594
63.4,-18.42,27.8,-12.86
63.6,15.7,11.6,-10.36
63.7,22,-30.4,-5.82
63.9,-1.352,-28.2,6.92
64,-10.94,5.74,7.98
64.2,3.98,13.22,-8.24
64.3,11.02,9,-4.78
64.5,14.1,11.68,13.06
64.6,19.16,-4.3,6.58
64.8,-3.42,-20.2,-7.02
64.9,-48.4,-0.662,0.384
65.1,-55.6,22.2,4.28
65.2,4.76,11.04,-7.18
65.4,59.8,-14.54,-9.46
65.5,44,-20.8,1.038
65.7,2.7,-0.506,8.94
65.9,-26.6,17.64,3.82
66,-42.2,0.304,-13.16
66.2,-11.4,-20.6,-11.96
66.3,42.6,4.92,19.64
66.5,39.8,31.2,27
66.6,-13.06,-2.42,-18.28
66.8,-40.6,-43.6,-45
66.9,-19.44,-21.4,-0.606
67.1,9.42,31.2,47.2
67.2,12.76,50.2,28.6
67.4,-6.64,31,-12.98
67.5,-22.4,-8.2,-17.32
67.7,-4.76,-45.8,-0.56
67.8,24.2,-43.8,5.28
68,25.8,-8.06,-10.72
68.1,16.58,10.14,-33.4
68.3,18,0.834,-24.8
68.4,18.14,-2.94,13.28
68.6,-9.26,13.88,36.6
68.7,-59,30.8,28
68.9,-56.4,28.2,8.92
69,22.4,4.76,-3.32
69.2,63.6,-20.6,-10.66
69.3,-0.976,-19,-12.36
69.5,-68.6,0.1488,-6.54
69.6,-36.8,3.38,2.58
69.8,41.6,3.68,14.2
69.9,63,5.78,8.32
70.1,21,-22.4,-26
70.2,-16.76,-49.8,-40.2
70.4,-19.46,-24.4,-11.38
70.5,-9.3,27.2,16.74
70.7,-0.0256,59.6,27.8
70.8,6.34,51.8,32.6
71,1.098,2.46,19.52
71.1,-7.52,-49.6,-15.34
71.3,-3.32,-46.6,-33.8
71.4,4.86,4.4,-7.78
71.6,2.44,25,18.02
71.7,-5.94,2.44,6.46
71.9,-2.68,-2.32,-8.56
72,11.94,14.94,-9.02
72.2,11,17.1,-3.38
72.3,-5.08,5.28,12.34
72.5,-11.66,-8.36,18.76
72.6,-13.58,-19.98,-2.04
72.8,-20.4,-10.18,-12.9
72.9,-16.04,16.06,12.74
73.1,18.34,8.76,18.34
73.3,56.2,-29,-29.6
73.4,35.2,-38.4,-60
73.6,-29,-18.26,-28
73.7,-47.4,1.138,19.08
73.9,-13.12,33.8,44.8
74,21,65,47.8
74.2,30.4,23.2,17.06
74.3,4.1,-55.6,-27.4
74.5,-28.6,-36.8,-23.2
74.6,-25.2,47.2,18.16
74.8,12.72,51.2,14.78
74.9,36.2,-12.64,-25.2
75.1,2.58,-28,-12.8
75.2,-26,17.38,47.8
75.4,4.8,12.2,38.8
75.5,24.4,-77.2,-68.8
75.7,-7.9,-104.4,-119.4
75.8,-39.4,6.38,-23.4
76,-32.8,101,81
76.1,-8.9,70.2,80.6
76.3,3.4,16.9,40.4
76.4,21.8,9.66,9.9
76.6,52,-24,-34.2
76.7,54.6,-94.8,-68
76.9,26,-73.4,-33.8
77,-6.44,71.6,47.4
77.2,-45,125.4,57.8
77.3,-79,-13.68,-31.4
77.5,-55.8,-118.6,-82.2
77.6,25.6,-21.2,-1.91
77.8,75.4,123,106
77.9,38,82,68.8
78.1,-23.2,-89.6,-78.4
78.2,-46.2,-123.2,-112.4
78.4,-53.2,11.78,6.92
78.5,-16.96,81.8,92
78.7,88.8,16.66,52.2
78.8,120,-33,-25.4
79,-18.18,-12.78,-55.8
79.1,-159,-10.1,-40.6
79.3,-96.2,-32,-3.76
79.4,103.6,9.92,47
79.6,165,86.2,61
79.7,27.4,75.4,14.08
79.9,-83.4,-10.34,-21.2
80,-60.8,-71,-26.8
80.2,-17,-77,-46
80.3,-14.74,-39.4,-41.2
80.5,-13.18,26.2,20.6
80.7,1.798,76.6,62.4
80.8,4.24,47.2,17.82
81,-2.86,-58.4,-45.8
81.1,16.76,-95.2,-20.6
81.3,52,28.2,67
81.4,43.6,130.8,66.8
81.6,-18.12,30.4,-58.2
81.7,-63.4,-106.8,-115.6
81.9,-28.4,-72,-8.42
82,47.6,30.2,79
82.2,61.2,55.8,41.4
82.3,-11.28,47.8,0.31
82.5,-57.2,37.4,5.38
82.6,-12.4,-28.2,-16.12
82.8,16.7,-105.2,-54.4
82.9,-31.6,-73.4,-38.4
83.1,-45,42.8,28
83.2,44.6,107,71.4
83.4,92.4,64.6,37.2
83.5,-11.66,-26.2,-41.8
83.7,-100.4,-88.8,-72.8
83.8,-37,-102.6,-34
84,54,-55.8,11.36
84.1,56.8,61.2,41.2
84.3,8,132,51.6
84.4,-30.2,41.6,5.64
84.6,-40.8,-72.4,-40.2
84.7,-17.92,-7.58,16.68
