Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
0,0.493,0.224,-0.0135
0.151,-0.264,-0.557,-1.84
0.302,-0.845,-0.531,-1.04
0.453,-0.0764,0.065,0.471
0.604,-0.188,-0.177,-0.126
0.755,0.0814,0.16,0.386
0.906,-0.0575,-0.104,-0.0823
1.06,-0.216,-0.16,-0.307
1.21,0.112,0.184,0.483
1.36,-0.0615,-0.148,-0.261
1.51,-0.0556,0.0334,0.0526
1.66,0.175,0.135,0.314
1.81,-0.156,-0.193,-0.419
1.96,0.124,0.197,0.367
2.11,0.0578,-0.0341,-0.0435
2.27,-0.108,-0.0837,-0.252
2.42,0.181,0.206,0.432
2.57,-0.068,-0.162,-0.354
2.72,-0.0229,0.0608,0.0728
2.87,0.155,0.105,0.24
3.02,-0.171,-0.198,-0.439
3.17,0.112,0.188,0.367
3.32,0.0102,-0.0769,-0.117
3.47,-0.13,-0.0836,-0.224
3.62,0.157,0.182,0.413
3.78,-0.114,-0.191,-0.388
3.93,-0.0219,0.073,0.126
4.08,0.123,0.0715,0.196
4.23,-0.181,-0.193,-0.416
4.38,0.119,0.195,0.4
4.53,-0.0102,-0.0984,-0.158
4.68,-0.115,-0.0582,-0.168
4.83,0.164,0.176,0.404
4.98,-0.122,-0.194,-0.404
5.14,0.00846,0.102,0.182
5.29,0.115,0.0525,0.15
5.44,-0.171,-0.175,-0.393
5.59,0.139,0.205,0.42
5.74,-0.0241,-0.116,-0.206
5.89,-0.0957,-0.032,-0.12
6.04,0.166,0.165,0.379
6.19,-0.135,-0.199,-0.423
6.34,0.03,0.122,0.228
6.49,0.097,0.0268,0.0963
6.65,-0.169,-0.161,-0.368
6.8,0.149,0.207,0.431
6.95,-0.0462,-0.137,-0.253
7.1,-0.0812,-0.00889,-0.0687
7.25,0.16,0.148,0.349
7.4,-0.148,-0.203,-0.434
7.55,0.0491,0.141,0.272
7.7,0.0773,0.000933,0.0435
7.85,-0.163,-0.145,-0.335
8,0.158,0.207,0.438
8.16,-0.0656,-0.155,-0.294
8.31,-0.0627,0.0162,-0.015
8.46,0.153,0.13,0.316
8.61,-0.156,-0.202,-0.437
8.76,0.0694,0.158,0.312
8.91,0.0584,-0.0238,-0.0098
9.06,-0.154,-0.125,-0.298
9.21,0.165,0.205,0.438
9.36,-0.0837,-0.17,-0.332
9.52,-0.0431,0.0411,0.0383
9.67,0.145,0.11,0.276
9.82,-0.163,-0.198,-0.434
9.97,0.0879,0.172,0.347
10.1,0.0381,-0.0485,-0.0634
10.3,-0.144,-0.104,-0.256
10.4,0.17,0.199,0.432
10.6,-0.101,-0.183,-0.364
10.7,-0.0231,0.0652,0.091
10.9,0.133,0.0883,0.233
11,-0.167,-0.191,-0.425
11.2,0.105,0.184,0.377
11.3,0.0173,-0.0724,-0.116
11.5,-0.131,-0.0816,-0.211
11.6,0.172,0.191,0.419
11.8,-0.117,-0.194,-0.391
11.9,-0.00258,0.0885,0.143
12.1,0.12,0.0653,0.186
12.2,-0.168,-0.181,-0.409
12.4,0.12,0.193,0.401
12.5,-0.00362,-0.0951,-0.167
12.7,-0.116,-0.0579,-0.163
12.8,0.172,0.18,0.4
13,-0.131,-0.201,-0.412
13.1,0.0181,0.11,0.192
13.3,0.104,0.0413,0.136
13.4,-0.167,-0.168,-0.388
13.6,0.134,0.199,0.42
13.7,-0.0244,-0.116,-0.215
13.9,-0.1,-0.0335,-0.112
14,0.169,0.166,0.375
14.2,-0.144,-0.206,-0.427
14.3,0.0385,0.131,0.239
14.5,0.0875,0.0165,0.0847
14.7,-0.163,-0.153,-0.36
14.8,0.146,0.202,0.432
15,-0.0448,-0.136,-0.26
15.1,-0.0823,-0.00852,-0.0592
15.3,0.164,0.149,0.345
15.4,-0.154,-0.207,-0.436
15.6,0.0584,0.149,0.282
15.7,0.0693,-0.0085,0.0318
15.9,-0.157,-0.136,-0.327
16,0.155,0.202,0.437
16.2,-0.0645,-0.153,-0.301
16.3,-0.0633,0.0165,-0.00576
16.5,0.156,0.131,0.309
16.6,-0.162,-0.206,-0.438
16.8,0.0774,0.166,0.32
16.9,0.05,-0.0335,-0.0217
17.1,-0.148,-0.116,-0.289
17.2,0.162,0.199,0.436
17.4,-0.0832,-0.168,-0.337
17.5,-0.0434,0.0412,0.0477
17.7,0.146,0.11,0.269
17.8,-0.168,-0.201,-0.434
