Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
0,-0.151,-0.468,1.18
0.151,1.1,-0.719,1.16
0.302,0.775,0.229,-0.927
0.453,-0.227,0.345,-0.542
0.604,0.176,0.125,-0.423
0.755,-0.254,0.145,-0.201
0.906,0.106,0.0311,-0.0394
1.06,0.234,0.0396,-0.286
1.21,-0.315,0.159,-0.147
1.36,0.205,-0.0706,0.0745
1.51,-0.0424,0.0683,-0.215
1.66,-0.216,0.0142,0.175
1.81,0.296,-0.0863,-0.0263
1.96,-0.279,0.0739,-0.0307
2.11,0.0373,-0.0734,0.207
2.27,0.157,-0.0448,-0.0712
2.42,-0.313,0.0593,0.0805
2.57,0.25,-0.122,0.153
2.72,-0.0705,0.0458,-0.142
2.87,-0.167,-0.00661,0.199
3.02,0.307,-0.0822,-0.0452
3.17,-0.272,0.0898,-0.0545
3.32,0.0964,-0.0645,0.154
3.47,0.147,-0.00518,-0.151
3.62,-0.288,0.0772,0.0406
3.78,0.283,-0.0945,0.0658
3.93,-0.099,0.0777,-0.187
4.08,-0.126,0.00337,0.156
4.23,0.295,-0.0591,-0.097
4.38,-0.289,0.102,-0.0627
4.53,0.127,-0.0674,0.136
4.68,0.108,0.01,-0.165
4.83,-0.281,0.0663,0.0678
4.98,0.292,-0.0973,0.0542
5.14,-0.141,0.0789,-0.16
5.29,-0.0954,-0.0151,0.178
5.44,0.274,-0.058,-0.0955
5.59,-0.304,0.0942,-0.0271
5.74,0.158,-0.0819,0.143
5.89,0.0711,0.0169,-0.16
6.04,-0.263,0.0519,0.0972
6.19,0.303,-0.0978,0.0381
6.34,-0.173,0.0835,-0.143
6.49,-0.0564,-0.027,0.181
6.65,0.255,-0.0479,-0.113
6.8,-0.31,0.093,-0.0106
6.95,0.191,-0.0866,0.127
7.1,0.0355,0.0307,-0.169
7.25,-0.24,0.0432,0.11
7.4,0.31,-0.0921,0.0111
7.55,-0.203,0.0906,-0.133
7.7,-0.0179,-0.0366,0.178
7.85,0.23,-0.0361,-0.13
8,-0.313,0.0898,0.00805
8.16,0.22,-0.0912,0.113
8.31,-0.00275,0.0421,-0.17
8.46,-0.215,0.0319,0.126
8.61,0.311,-0.0874,-0.0101
8.76,-0.231,0.0941,-0.115
8.91,0.02,-0.0478,0.178
9.06,0.202,-0.0255,-0.142
9.21,-0.311,0.084,0.0298
9.36,0.245,-0.0953,0.0981
9.52,-0.0406,0.0523,-0.167
9.67,-0.186,0.0199,0.141
9.82,0.307,-0.0814,-0.0313
9.97,-0.255,0.0967,-0.097
10.1,0.058,-0.0578,0.174
10.3,0.172,-0.0138,-0.154
10.4,-0.305,0.0774,0.0499
10.6,0.267,-0.0974,0.0803
